구분(노상-노외),주차장명,급지,주소,면수,요금(5분당)
노상,달구지길,2,화곡1동 대림아파트 옆,29,250원
노상,배다리동길,2,"화곡2,4,8동 복개도로(국회대로7길)",315,200원
노상,배다리서길,2,화곡1동 복개도로(강서로5나길),254,200원
노상,신학대길,2,화곡6동 강서구청 후문,48,250원
노상,방죽길,2,화곡6동 뉴리젠트호텔 후면,50,250원
노상,구암길,2,등촌3동 그랜드종합상가 후면,49,250원
노상,꿈나무길,2,등촌3동 미주진로아파트 후면,62,250원
노상,황금내공원길,4,가양3동 1485(황금내공원길),71,100원
노외,가로공원,4,가로공원로 지하189 (지하1층~지하2층),500,100원
노외,볏골,5,까치산로 4길 22 (지하1층~지하2층),231,100원
노외,화곡본-1,5,초록마을로 26길 48 (지하1층~2층 4단 입체식),97,50원
노외,화곡본-2,5,초록마을로 5길 43 (2층 3단 입체식),100,50원
노외,화곡1-1,5,곰달래로 15길 28 (지하1층~2층 4단 입체식),98,50원
노외,화곡1-2,5,강서로 가로공원로76가길 39,9,50원
노외,화곡2-1,5,강서로 18아길 26-15 (1층 2단 입체식),59,50원
노외,화곡3-1,5,화곡로 15길 40 (3층 4단 입체식),99,50원
노외,화곡5-1,5,강서로 36길 21 (평면식),27,50원
노외,화곡5-2,5,강서로34길 41-21 (평면식),25,50원
노외,화곡5-3,5,화곡로27가길 38 (평면식),16,50원
노외,화곡6-1,4,우장산로114(화곡동),298,100원
노외,화곡7-1,5,월정로32길 68 (2층 3단 입체식),86,50원
노외,화곡8-1,5,초록마을로 22길 57-11 (2층 3단 입체식),53,50원
노외,화곡8-2,5,초록마을로 126 (2층 3단 입체식),110,50원
노외,등촌2-1,5,등촌로 55길 33-16 (1층 2단 입체식),90,50원
노외,서울식물원 제2주차장,4,마곡동 811-5,202,100원
부설,곰달래 복지센터,4,강서로 5길 50,248,100원
부설,화곡4-1,5,곰달래 57가길20,138,50원
부설,등서초,5,강서구 화곡로 58길 86,32,50원
임시,공항2구역,3,방화대로 8길 3,75,150원
임시,마곡7구역,4,마곡동 308-4,400,100원
임시,마곡8구역,4,마곡동 802-3,200,100원
